Date,Likes,Retweets,Replies,Quotes,Engagement,Has_Media,Text,URL
"2025-11-14",9,0,2,0,11,false,"The chill time with Solana Friends after the war time was the best https://t.co/l6WBy8Cs6H","https://x.com/muse_jp_sol/status/1989369496197537870"
"2025-11-15",1,0,1,0,2,false,"aespaでもアンチ湧くくらいだからなー","https://x.com/muse_jp_sol/status/1989680804256256016"
"2025-11-16",2,0,0,0,2,false,"Lmao 🤣🤣🤣
This is Solana ecosystem https://t.co/Gos15chAYS","https://x.com/muse_jp_sol/status/1989880327721160793"
"2025-11-16",3,0,1,0,4,false,"I will be communicating about Muse in Japanese through separate accounts.🇯🇵

I will be posting under the name Yusuke Kikuta as an entrepreneur here.🧑‍💻

I apologize for the trouble, but please follow us! https://t.co/A7z1UW1PoK","https://x.com/muse_jp_sol/status/1990057491565367787"
"2025-11-16",5,0,0,0,5,false,"As someone who participated in the hackathon, I express my deep gratitude and respect to everyone involved in the judging. https://t.co/RXTPfNRGuT","https://x.com/muse_jp_sol/status/1990060320359084452"
"2025-11-16",10,1,1,0,12,true,".@_Demeju and I always enjoy @lootgo_official  when we go for walks! 🚶

Applause for a product that integrates the real world and the internet, making even short strolls fun.😀 https://t.co/nnHKok4tSY","https://x.com/muse_jp_sol/status/1990063104273887379"
"2025-11-16",3,0,0,0,3,true,"There are times when data analysis and indexing go together, 

but I essentially believe that indexes are more valuable. https://t.co/gpKZT4lGb5","https://x.com/muse_jp_sol/status/1990073468117823668"
"2025-11-17",7,2,0,0,9,false,"I just voted for @Axis__Solana  for Rising Star [DeFi] at @SolanaConf 🏆🏆🏆

Cast your vote: https://t.co/LvIhMA2miH","https://x.com/muse_jp_sol/status/1990348052914426337"
"2025-11-17",5,0,1,0,6,false,"🐃 https://t.co/F0bv0yif2O","https://x.com/muse_jp_sol/status/1990367493098291292"
"2025-11-18",6,0,0,0,6,true,"COMING SOOOOOOON 👀🔥 https://t.co/CeEJ1ylZM1","https://x.com/muse_jp_sol/status/1990734678404255880"
"2025-11-18",3,0,1,1,4,true,"My CaP5 index performance over the last 30 days:

+12.00%

Powered by @Axis__Solana @Solana 

Try it out here: 
https://t.co/6J6C9IJBDa https://t.co/CYokd9Cg0E","https://x.com/muse_jp_sol/status/1990741204464452068"
